Gitter_ID_1km *;x_mp_1km_1;y_mp_1km_1;Einwohner;Alter_D;unter18_A;ab65_A;Auslaender_A;HHGroesse_D;Leerstandsquote;Wohnfl_Bew_D;Wohnfl_Whg_D
1kmN3367E4314;4314500;3367500;3;-9;0;0;0;-1;-1;-9;-1
1kmN3372E4331;4331500;3372500;3;-9;0;100;0;-1;-1;-9;-1
1kmN3378E4315;4315500;3378500;3;-9;0;0;0;-1;-1;-9;-1
1kmN3379E4316;4316500;3379500;3;-9;0;0;100;-1;-1;-1;-1
1kmN3379E4335;4335500;3379500;7;-9;-9;0;57.14;1.4;-1;-1;-1
1kmN3380E4319;4319500;3380500;3;-9;0;0;0;1;-1;-1;-1
1kmN3389E4306;4306500;3389500;3;-9;0;0;0;1;0;83;83
1kmN3389E4333;4333500;3389500;29;-9;24.14;-9;-9;2.4;0;-9;-9
1kmN3400E4326;4326500;3400500;13;-9;0;-9;-9;2.3;-9;-9;-9
1kmN3365E4337;4337500;3365500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3368E4315;4315500;3368500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3368E4317;4317500;3368500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3368E4332;4332500;3368500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3369E4312;4312500;3369500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3369E4332;4332500;3369500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3370E4337;4337500;3370500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3370E4338;4338500;3370500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3370E4342;4342500;3370500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3371E4309;4309500;3371500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3371E4334;4334500;3371500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3371E4337;4337500;3371500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3371E4338;4338500;3371500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3371E4342;4342500;3371500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3372E4309;4309500;3372500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3372E4314;4314500;3372500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3372E4322;4322500;3372500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3372E4327;4327500;3372500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3372E4340;4340500;3372500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3373E4335;4335500;3373500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3374E4315;4315500;3374500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3374E4317;4317500;3374500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3374E4318;4318500;3374500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3374E4319;4319500;3374500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3375E4307;4307500;3375500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3375E4308;4308500;3375500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3375E4310;4310500;3375500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3375E4314;4314500;3375500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3375E4315;4315500;3375500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3375E4318;4318500;3375500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3375E4319;4319500;3375500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3376E4307;4307500;3376500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3376E4308;4308500;3376500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3376E4309;4309500;3376500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3376E4310;4310500;3376500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3376E4311;4311500;3376500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3376E4317;4317500;3376500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3376E4318;4318500;3376500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3376E4331;4331500;3376500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3377E4305;4305500;3377500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3377E4306;4306500;3377500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3377E4307;4307500;3377500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3377E4308;4308500;3377500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3377E4314;4314500;3377500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3377E4315;4315500;3377500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3377E4316;4316500;3377500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3377E4317;4317500;3377500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3377E4327;4327500;3377500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3378E4305;4305500;3378500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3378E4310;4310500;3378500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3378E4311;4311500;3378500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3378E4312;4312500;3378500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3378E4313;4313500;3378500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3378E4314;4314500;3378500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3378E4316;4316500;3378500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3378E4317;4317500;3378500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3378E4324;4324500;3378500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3378E4330;4330500;3378500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3379E4314;4314500;3379500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3379E4315;4315500;3379500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3379E4317;4317500;3379500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3379E4318;4318500;3379500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3380E4308;4308500;3380500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3380E4309;4309500;3380500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3380E4314;4314500;3380500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3380E4315;4315500;3380500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3380E4316;4316500;3380500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3380E4317;4317500;3380500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3380E4318;4318500;3380500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3380E4320;4320500;3380500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3380E4321;4321500;3380500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3381E4307;4307500;3381500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3381E4308;4308500;3381500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3381E4309;4309500;3381500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3381E4313;4313500;3381500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3381E4321;4321500;3381500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3382E4306;4306500;3382500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3382E4307;4307500;3382500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3382E4308;4308500;3382500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3383E4303;4303500;3383500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3383E4304;4304500;3383500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3383E4330;4330500;3383500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3383E4331;4331500;3383500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3386E4334;4334500;3386500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3387E4306;4306500;3387500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3387E4307;4307500;3387500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3387E4334;4334500;3387500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3388E4306;4306500;3388500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3389E4304;4304500;3389500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3389E4305;4305500;3389500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3390E4304;4304500;3390500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3390E4305;4305500;3390500;-1;-1;-1;-1;-1;-1;-1;-9;-1
1kmN3390E4324;4324500;3390500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3390E4334;4334500;3390500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3390E4335;4335500;3390500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3391E4320;4320500;3391500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3391E4335;4335500;3391500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3400E4331;4331500;3400500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3400E4333;4333500;3400500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3401E4329;4329500;3401500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3401E4330;4330500;3401500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3401E4331;4331500;3401500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3401E4332;4332500;3401500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3401E4333;4333500;3401500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3402E4332;4332500;3402500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3402E4333;4333500;3402500;-1;-1;-1;-1;-1;-1;-1;-1;-1
1kmN3377E4318;4318500;3377500;4;23.8;0;0;0;1.33;0;-1;0
1kmN3379E4320;4320500;3379500;111;27.5;36.04;2.7;64.86;4;0;20;-9
